# lambda deltax deltaz
1 -0.0013112248628670425 0.05098601679698003
2 -0.005542128536886457 0.09896052914105555
3 -0.011638732782225675 0.14198906750624543
4 -0.018713646590935107 0.17944904147302423
5 -0.02609063201069633 0.2116084706010168
6 -0.03334754337672611 0.23912742782285681
7 -0.04025811570820861 0.26274452028254675
8 -0.04672126378234643 0.2831362880771715
9 -0.052707980781075595 0.300873962832993
10 -0.05822765476931005 0.3164229106653778
11 -0.06330836003938023 0.33015683162346077
12 -0.06798586356559884 0.3423747620008357
13 -0.07229773082641985 0.3533165237035785
14 -0.0762803191507405 0.36317546170196796
15 -0.07996737175706514 0.3721085122488283
16 -0.08338948105442091 0.38024401513863026
17 -0.08657401042323408 0.3876877345568869
18 -0.08954524576518953 0.39452749718731134
19 -0.09232465082671536 0.400836776143395
20 -0.09493115810039246 0.406677474393784
21 -0.09738145955698489 0.412102099851979
22 -0.09969027958592505 0.41715547655923524
23 -0.10187062253852942 0.4218761003071369
24 -0.10393399268954277 0.4262972201151828
25 -0.10589058725442838 0.4304477069740963
26 -0.1077494644602389 0.4343527564103809
27 -0.10951868921803813 0.43803446037026095
28 -0.11120545905719056 0.44151227565733553
29 -0.11281621286884717 0.44480340995121675
30 -0.1143567247876779 0.4479231417459786
31 -0.11583218528399067 0.4508850869847434
32 -0.11724727127867507 0.4537014224433309
33 -0.11860620684901016 0.4563830738210661
34 -0.1199128158724485 0.45893987487578025
35 -0.1211705677605478 0.4613807026780598
36 -0.12238261726585627 0.4637135930715278
37 -0.12355183919892249 0.4659458396477312
38 -0.12468085876816962 0.4680840789278642
39 -0.12577207814954414 0.47013436395291874
40 -0.12682769980303107 0.4721022280911315
41 -0.1278497469770871 0.4739927405558165
42 -0.12884008177759965 0.47581055487135304
43 -0.1298004211234697 0.4775599513178678
44 -0.1307323508647049 0.4792448742160734
45 -0.1316373382997416 0.48086896477522256
46 -0.13251674329546956 0.4824355901132052
47 -0.13337182818516968 0.48394786896370445
48 -0.13420376659552244 0.4854086945072773
49 -0.13501365133333842 0.4868207546982721
50 -0.13580250144514738 0.4881865504052202
51 -0.13657126854780305 0.489508411636848
52 -0.13732084251542404 0.49078851208757746
53 -0.1380520565969621 0.492028882204075
54 -0.138765692029226 0.49323142094707534
55 -0.13946248220200677 0.4943979063994627
56 -0.1401431164249104 0.4955300053518073
57 -0.14080824333940384 0.49662928197965606
58 -0.14145847401430894 0.4976972057123984
59 -0.14209438475839364 0.49873515838109006
60 -0.14271651967971943 0.4997444407218868
61 -0.14332539301794858 0.5007262783025187
62 -0.14392149127278736 0.5016818269312128
63 -0.14450527514909745 0.5026121776005367
64 -0.1450771813368909 0.5035183610125786
65 -0.14563762414240058 0.5044013517266305
66 -0.14618699698465284 0.505262071965956
67 -0.14672567377037038 0.5061013951161546
68 -0.14725401015869527 0.5069201489441637
69 -0.1477723447259692 0.50771911856378
70 -0.14828100003976596 0.5084990491709012
71 -0.1487802836503995 0.5092606485692416
72 -0.149270489007297 0.510004589505166
73 -0.149751896306885 0.5107315118283965
74 -0.1502247732779603 0.511442024493668
75 -0.1506893759099409 0.5121367074169357
76 -0.15114594912885324 0.5128161131983954
77 -0.1515947274254655 0.5134807687234396
78 -0.1520359354395174 0.5141311766515543
79 -0.15246978850366932 0.5147678168022949
80 -0.15289649315042733 0.5153911474465915
81 -0.1533162475850107 0.5160016065108916
82 -0.1537292421268458 0.5165996127009633
83 -0.15413565962215714 0.5171855665516017
84 -0.1545356758298725 0.517759851407893
85 -0.1549294597828882 0.5183228343432278
86 -0.15531717412654075 0.5188748670187784
87 -0.15569897543600814 0.5194162864888114
88 -0.15607501451416608 0.5199474159557491
89 -0.1564454366713402 0.5204685654786578
90 -0.15681038198825756 0.5209800326384791
91 -0.15716998556338319 0.5214821031630743
92 -0.15752437774575245 0.521975051514896
93 -0.15787368435430682 0.522459141443893
94 -0.1582180268846545 0.522934626508016
95 -0.1585575227041218 0.5234017505635432
96 -0.15889228523587978 0.5238607482272513
97 -0.15922242413287546 0.5243118453123086
98 -0.15954804544223075 0.5247552592396149
99 -0.15986925176075018 0.525191199426218
100 -0.16018614238208984 0.5256198676522583
