# lambda deltax deltaz
0.01 0.0002010983363490041 0.0003394406515517989
0.1 0.0001918146156913854 0.003862765084852096
0.2 0.0001643181473033509 0.007774893732102951
0.5 -2.627739137959802e-05 0.01949287485506743
0.75 -0.0003060579172168916 0.02917193817324187
1 -0.0006940477203310957 0.03879565601484573
2 -0.003249747797469167 0.07627698521701821
3 -0.007141781525020272 0.1112945038509845
3.5 -0.009462226804831362 0.1276745909015612
4 -0.01196865350536258 0.1432723916710816
5 -0.01736001559008821 0.1720805763615268
8 -0.03425739312356876 0.2409690530506295
10 -0.04437948568594854 0.2742212236635139
12 -0.05365204999778204 0.3015334891165001
15 -0.065580379661677 0.3336005670397125
20 -0.08106717650633864 0.3716079338498355
25 -0.09230056299176041 0.3974619578631425
30 -0.1006635135938482 0.4160015120222533
